Close Date,Households,HH Income,Education Years,Over 65,Over 85,Ed Pop,Some college to Associates Degree,Poverty Pop,Health Ins,Repeat Donor
2018-02-16,12488.0,104.5561739,15.51788953,3360.0,340.0,18195.0,15895.0,12488.0,19348.0,1
2014-08-27,8074.0,147.580815,16.27508815,4843.0,760.0,14748.0,13790.0,8074.0,21103.0,1
2014-10-29,16359.0,90.52096705,15.81371841,6598.0,1580.0,22160.0,19230.0,16359.0,49030.0,1
2014-03-26,16720.0,127.0675837,16.22100776,7372.0,1296.0,27447.0,25491.0,16720.0,35689.0,1
2021-03-10,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,0
2019-12-31,13925.0,93.74721724,14.52669532,6804.0,774.0,27458.0,20922.0,13925.0,34327.0,1
2020-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-09-01,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2020-12-31,2247.0,97.15954606,14.27436927,634.0,132.0,3488.0,2594.0,2247.0,3785.0,1
2014-12-09,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2016-10-13,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2016-10-02,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2014-03-26,16720.0,127.0675837,16.22100776,7372.0,1296.0,27447.0,25491.0,16720.0,35689.0,1
2015-10-20,11083.0,113.2766399,15.44886423,4369.0,517.0,19106.0,16348.0,11083.0,25015.0,1
2020-10-09,16720.0,127.0675837,16.22100776,7372.0,1296.0,27447.0,25491.0,16720.0,35689.0,1
2014-10-27,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2018-10-11,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2015-09-24,1501.0,111.6222518,15.72454826,1321.0,360.0,2269.0,2020.0,1501.0,2517.0,1
2019-08-09,1531.0,113.211953,15.62488263,1206.0,318.0,2130.0,1852.0,1531.0,2427.0,1
2014-07-29,11144.0,119.6625987,15.60005226,4111.0,575.0,19135.0,16612.0,11144.0,24115.0,1
2020-09-24,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2021-06-22,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,0
2019-08-20,1501.0,111.6222518,15.72454826,1321.0,360.0,2269.0,2020.0,1501.0,2517.0,1
2021-05-18,13818.0,141.0243885,15.67213238,6258.0,812.0,26529.0,23675.0,13818.0,35322.0,1
2018-09-04,15993.0,61.91536922,12.20468808,4610.0,827.0,27090.0,13798.0,15993.0,28884.0,1
2017-09-12,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2016-09-20,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2014-10-29,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2021-02-26,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2016-12-17,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2014-10-10,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2014-10-27,11144.0,119.6625987,15.60005226,4111.0,575.0,19135.0,16612.0,11144.0,24115.0,1
2014-08-15,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2015-09-11,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2014-10-13,12336.250423011845,108.94524661571913,14.743985180101523,4829.377326565143,737.414551607445,21945.213197969544,17152.39255499154,12336.250423011845,28062.63282571912,1
2018-11-02,4999.0,133.0161032,16.3204388,2992.0,377.0,8660.0,7988.0,4999.0,11677.0,1
2021-04-12,16114.0,129.7480452,13.83484244,6634.0,516.0,33574.0,24321.0,16114.0,47112.0,1
2017-10-11,16512.0,137.4509448,15.24494027,7563.0,1065.0,32314.0,28443.0,16512.0,44434.0,1
2021-08-25,17062.0,119.5309753,15.38116624,5750.0,725.0,28279.0,23872.0,17062.0,32983.0,1
2021-06-22,3777.0,84.48305533,12.75915493,2182.0,509.0,8520.0,4597.0,3777.0,10647.0,1
2021-02-05,17961.0,107.2949724,14.82130097,7927.0,1304.0,33867.0,27518.0,17961.0,43528.0,1
