Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount,ZCTA,Year,Pop,Households,HH Income,Education Years,Minority %,Poor %,Poor Family %,Car or Van %,Public Transport %,Health Ins %,No Health Ins %,Unemployed %,Employed %,Armed Forces %,Not in Labor Force %,Under 10 %,Under 35 %,Over 65 %,Over 85 %,High school %,College %,0-50k %,50-100k %,100-150k %,150-200k %,200k+ %,Minority,Under 10,Under 35,Over 65,Over 85,Male 10-14,Male 15-17,Male 18-19,Male 20,Male 21,Male 22-24,Male 25-29,Male 30-34,Female 10-14,Female 15-17,Female 18-19,Female 20,Female 21,Female 22-24,Female 25-29,Female 30-34,Ed Pop,Less than High School,High school,GED,Some college to Associates Degree,Bachelor's Degree or Higher,$0-25k,$25-50k,$50-75k,$75-100k,$100-125k,$125-150k,$150-200k,$200k+,Poverty Pop,Poor,Poor Family,Transport Pop,Car or Van,Carpool,Public Transport,Worked from Home,Health Ins Pop,Health Ins,No Health Ins,Labor Population,Armed Forces,Employed,Unemployed,Not in Labor Force,Num Donations,Repeat Donor
11,Campaign One 2016,Closed Won,Household,91006,Q4-2016,2016-10-13,70.0,91066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,True
12,Campaign One 2016,Closed Won,Household,,Q4-2016,2016-10-02,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,True
13,Campaign One 2014,Closed Won,Household,90049,Q1-2014,2014-03-26,300.0,90049.0,2019.0,36418.0,16720.0,127.0675837,16.22100776,0.148690208,0.080502392,0.016566986,0.708219812,0.027707809,0.981006047,0.018993953,0.030760207,0.646485711,0.001238229,0.321515853,0.09874238,0.412268658,0.202427371,0.035586798,0.071264619,1.715305862,0.193720096,0.206220096,0.156937799,0.107894737,0.335227273,5415.0,3596.0,15014.0,7372.0,1296.0,950.0,663.0,92.0,94.0,72.0,446.0,1423.0,1268.0,903.0,497.0,551.0,120.0,284.0,703.0,1772.0,1580.0,27447.0,603.0,1239.0,114.0,25491.0,21589.0,1918.0,1321.0,1626.0,1822.0,1450.0,1174.0,1804.0,5605.0,16720.0,1346.0,277.0,19453.0,13777.0,791.0,539.0,2587.0,36380.0,35689.0,691.0,30689.0,38.0,19840.0,944.0,9867.0,30,True
14,Campaign One 2015,Closed Won,Household,90064,Q4-2015,2015-10-20,245.0,90064.0,2019.0,25925.0,11083.0,113.2766399,15.44886423,0.305303761,0.101416584,0.024542091,0.756431747,0.033962539,0.967585967,0.032414033,0.022067418,0.651690121,0,0.326242461,0.117261331,0.427463838,0.16852459,0.019942141,0.144352559,1.533654349,0.273572138,0.215194442,0.138049265,0.108183705,0.265000451,7915.0,3040.0,11082.0,4369.0,517.0,605.0,490.0,196.0,163.0,167.0,360.0,1087.0,1116.0,604.0,304.0,49.0,130.0,93.0,618.0,985.0,1075.0,19106.0,1110.0,1508.0,140.0,16348.0,12954.0,1634.0,1398.0,1285.0,1100.0,861.0,669.0,1199.0,2937.0,11083.0,1124.0,272.0,13721.0,10379.0,554.0,466.0,1541.0,25853.0,25015.0,838.0,21389.0,0.0,13939.0,472.0,6978.0,39,True
15,Campaign Two 2020,Closed Won,Household,90049,Q4-2020,2020-10-09,200.0,90049.0,2019.0,36418.0,16720.0,127.0675837,16.22100776,0.148690208,0.080502392,0.016566986,0.708219812,0.027707809,0.981006047,0.018993953,0.030760207,0.646485711,0.001238229,0.321515853,0.09874238,0.412268658,0.202427371,0.035586798,0.071264619,1.715305862,0.193720096,0.206220096,0.156937799,0.107894737,0.335227273,5415.0,3596.0,15014.0,7372.0,1296.0,950.0,663.0,92.0,94.0,72.0,446.0,1423.0,1268.0,903.0,497.0,551.0,120.0,284.0,703.0,1772.0,1580.0,27447.0,603.0,1239.0,114.0,25491.0,21589.0,1918.0,1321.0,1626.0,1822.0,1450.0,1174.0,1804.0,5605.0,16720.0,1346.0,277.0,19453.0,13777.0,791.0,539.0,2587.0,36380.0,35689.0,691.0,30689.0,38.0,19840.0,944.0,9867.0,12,True
16,Campaign One 2014,Closed Won,Household,,Q4-2014,2014-10-27,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,True
17,Campaign Two 2018,Closed Won,Corporate,91106,Q4-2018,2018-10-11,1000.0,91126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,True
18,Campaign One 2015,Closed Won,Corporate,90067,Q3-2015,2015-09-24,2800.0,90067.0,2020.0,2560.0,1501.0,111.6222518,15.72454826,0.28828125,0.064623584,0,0.590631365,0.012219959,0.983203125,0.016796875,0.030354853,0.424112869,0,0.545532279,0.058984375,0.20546875,0.516015625,0.140625,0.109739974,1.564565888,0.327781479,0.08461026,0.227181879,0.123917388,0.236508994,738.0,151.0,526.0,1321.0,360.0,45.0,4.0,0.0,0.0,0.0,8.0,41.0,68.0,25.0,0.0,0.0,0.0,0.0,58.0,68.0,58.0,2269.0,34.0,169.0,46.0,2020.0,1530.0,291.0,201.0,88.0,39.0,260.0,81.0,186.0,355.0,1501.0,97.0,0.0,982.0,580.0,0.0,12.0,299.0,2560.0,2517.0,43.0,2339.0,0.0,992.0,71.0,1276.0,30,True
19,Campaign Two 2019,Closed Won,Corporate,90067,Q3-2019,2019-08-09,5000.0,90067.0,2021.0,2483.0,1531.0,113.211953,15.62488263,0.285541683,0.070542129,0.007184847,0.609514371,0.016848365,0.977446637,0.022553363,0.033215235,0.453055802,0,0.513728964,0.059202578,0.233588401,0.485702779,0.128070882,0.130516432,1.519248826,0.292619203,0.131286741,0.21097322,0.120836055,0.244284781,709.0,147.0,580.0,1206.0,318.0,35.0,19.0,0.0,0.0,6.0,11.0,33.0,75.0,43.0,0.0,0.0,7.0,7.0,78.0,56.0,63.0,2130.0,18.0,217.0,43.0,1852.0,1384.0,283.0,165.0,93.0,108.0,273.0,50.0,185.0,374.0,1531.0,108.0,11.0,1009.0,615.0,0.0,17.0,261.0,2483.0,2427.0,56.0,2258.0,0.0,1023.0,75.0,1160.0,12,True
20,Campaign One 2014,Closed Won,Corporate,90064,Q3-2014,2014-07-29,5000.0,90064.0,2021.0,25161.0,11144.0,119.6625987,15.60005226,0.375144072,0.086055276,0.028176597,0.634680743,0.035938969,0.962597797,0.037402203,0.029979821,0.676707985,0,0.293312194,0.12507452,0.424029252,0.163387783,0.022852828,0.131852626,1.566501176,0.235104092,0.207286432,0.160624551,0.117103374,0.279881551,9439.0,3147.0,10669.0,4111.0,575.0,509.0,334.0,92.0,62.0,88.0,365.0,968.0,1420.0,464.0,287.0,94.0,63.0,82.0,439.0,1141.0,1114.0,19135.0,896.0,1480.0,147.0,16612.0,13363.0,1281.0,1339.0,1305.0,1005.0,1048.0,742.0,1305.0,3119.0,11144.0,959.0,314.0,13829.0,8777.0,699.0,497.0,3045.0,25052.0,24115.0,937.0,20814.0,0.0,14085.0,624.0,6105.0,18,True
